year,brown,redwood,martin,watonwan
2019,4826866,9029749,5703607,3045266
2018,11953532,15516778,24201932,12527737
2017,752334,632191,326267,70793
2016,1552040,3424073,1119812,1926324
2015,750739,334379,126579,160513
2014,17691151,28684661,30381310,11520033
2013,18407090,27789107,24683216,6982486
2012,5544673,6099376,4246994,814210
2011,2414269,5974671,1819888,387718
2010,216281,148634,445430,132196
2009,813572,603125,60047,62027
2008,3665656,4974011,7817890,2977579
2007,2523041,2176865,1062897,822779
2006,465001,190795,80392,105676
2005,480849,387011,367808,30477
2004,503760,1353187,335068,175485
2003,644015,300599,124830,216316
2002,495366,276441,132401,39868
2001,1176397,1293058,4652914,1044664
